Caudovirales,Myoviridae,,Pbunalikevirus,0,Pseudomonas phage LMA2
Caudovirales,Myoviridae,,Pbunalikevirus,1,Pseudomonas phage PB1
Caudovirales,Myoviridae,,Pbunalikevirus,0,Pseudomonas phage SN
Caudovirales,Myoviridae,,Phicd119likevirus,0,Clostridium phage phiC2
Caudovirales,Myoviridae,,Phicd119likevirus,0,Clostridium phage phiCD27
Caudovirales,Myoviridae,,Phicd119likevirus,1,Clostridium phage phiCD119
Caudovirales,Myoviridae,,Phihlikevirus,1,Halobacterium phage phiH
Caudovirales,Myoviridae,,Phikzlikevirus,0,Pseudomonas phage EL
Caudovirales,Myoviridae,,Phikzlikevirus,0,Pseudomonas phage Lin68
Caudovirales,Myoviridae,,Phikzlikevirus,1,Pseudomonas phage phiKZ
Caudovirales,Myoviridae,,Punalikevirus,0,Aeromonas phage 43
Caudovirales,Myoviridae,,Punalikevirus,1,Enterobacteria phage P1
Caudovirales,Myoviridae,,Unassigned,0,Bacillus phage G
Caudovirales,Myoviridae,,Unassigned,0,Bacillus phage PBS1
Caudovirales,Myoviridae,,Unassigned,0,Microcystis aeruginosa phage Ma-LMM01
Caudovirales,Myoviridae,,Viunalikevirus,0,Dickeya phage Limestone
Caudovirales,Myoviridae,,Viunalikevirus,0,Escherichia phage Cba120
Caudovirales,Myoviridae,,Viunalikevirus,0,Escherichia phage PhaxI
Caudovirales,Myoviridae,,Viunalikevirus,0,Salmonella phage Sfp10
Caudovirales,Myoviridae,,Viunalikevirus,0,Salmonella phage Sh19
Caudovirales,Myoviridae,,Viunalikevirus,1,Salmonella phage ViI
Caudovirales,Myoviridae,,Viunalikevirus,0,Shigella phage Ag3
Caudovirales,Podoviridae,Autographivirinae,Phikmvlikevirus,0,Pantoea phage Limelight
Caudovirales,Podoviridae,Autographivirinae,Phikmvlikevirus,0,Pantoea phage Limezero
Caudovirales,Podoviridae,Autographivirinae,Phikmvlikevirus,0,Pseudomonas phage LKA1
Caudovirales,Podoviridae,Autographivirinae,Phikmvlikevirus,1,Pseudomonas phage phiKMV
Caudovirales,Podoviridae,Autographivirinae,Sp6likevirus,0,Enterobacteria phage K5
Caudovirales,Podoviridae,Autographivirinae,Sp6likevirus,0,Enterobacteria phage K1-5
Caudovirales,Podoviridae,Autographivirinae,Sp6likevirus,0,Enterobacteria phage K1E
Caudovirales,Podoviridae,Autographivirinae,Sp6likevirus,1,Enterobacteria phage SP6
Caudovirales,Podoviridae,Autographivirinae,Sp6likevirus,0,Erwinia amylovora phage Era103
Caudovirales,Podoviridae,Autographivirinae,T7likevirus,1,Enterobacteria phage T7
Caudovirales,Podoviridae,Autographivirinae,T7likevirus,0,Kluyvera phage Kvp1
Caudovirales,Podoviridae,Autographivirinae,T7likevirus,0,Pseudomonad phage gh-1
Caudovirales,Podoviridae,Autographivirinae,Unassigned,0,Prochlorococcus phage P-SSP7
Caudovirales,Podoviridae,Autographivirinae,Unassigned,0,Synechococcus phage P60
Caudovirales,Podoviridae,Autographivirinae,Unassigned,0,Synechococcus phage syn5
Caudovirales,Podoviridae,Picovirinae,Ahjdlikevirus,1,Staphylococcus phage 44AHJD
Caudovirales,Podoviridae,Picovirinae,Ahjdlikevirus,0,Streptococcus phage C1
Caudovirales,Podoviridae,Picovirinae,Phi29likevirus,0,Bacillus phage B103
Caudovirales,Podoviridae,Picovirinae,Phi29likevirus,0,Bacillus phage GA-1
Caudovirales,Podoviridae,Picovirinae,Phi29likevirus,1,Bacillus phage phi29
Caudovirales,Podoviridae,Picovirinae,Phi29likevirus,0,Kurthia phage 6
Caudovirales,Podoviridae,Picovirinae,Unassigned,0,Actinomyces phage Av-1
Caudovirales,Podoviridae,Picovirinae,Unassigned,0,Mycoplasma phage P1
Caudovirales,Podoviridae,Picovirinae,Unassigned,0,Streptococcus phage Cp-1
Caudovirales,Podoviridae,,Bppunalikevirus,1,Bordetella phage BPP-1
Caudovirales,Podoviridae,,Bppunalikevirus,0,Burkholderia phage BcepC6B
Caudovirales,Podoviridae,,Epsilon15likevirus,0,Escherichia phage PhiV10
Caudovirales,Podoviridae,,Epsilon15likevirus,1,Salmonella phage epsilon15
Caudovirales,Podoviridae,,Luz24likevirus,1,Pseudomonas phage LUZ24
Caudovirales,Podoviridae,,Luz24likevirus,0,Pseudomonas phage PaP3
